strategy,IS_bps,vs_TWAP,win_rate_%,t_stat
DoubleDQN,-405.94016413822624,-388.00797163308556,60.5,-5.022842814602026
DQN,-289.4423322147422,-271.5101397096016,59.0,-3.4757789288841954
PPO,-121.18862118119746,-103.25642867605686,50.24999999999999,-1.0366820253372917
SAC,-104.8278656409581,-86.89567313581749,56.25,-2.8852211941269292
VWAP,-20.429327602187684,-2.4971350970470723,51.24999999999999,-1.6034273852858378
TWAP,-17.93219250514061,0.0,,
POV,-11.729495595036523,6.202696910104087,49.75,1.0880417743838258
AlmgrenChriss,3.624961062521254,21.557153567661853,50.5,0.7417336067321545
A2C,5.0277762498673155,22.959968755007914,50.74999999999999,0.2646224480020618
Random,8.642350597090477,26.57454310223108,51.74999999999999,0.6670832100283091
